axis,block,Group_x,predicate_label_provisional,n_available,n_kept,capped
age,age,80,CROWS,1,1,False
age,age,College students,CROWS,1,1,False
age,age,Sam was,CROWS,1,1,False
age,age,advanced,CROWS,1,1,False
age,age,grandmother,CROWS,1,1,False
age,age,little boy,CROWS,1,1,False
age,age,man,CROWS,1,1,False
age,age,millenial,CROWS,1,1,False
age,age,millenials,CROWS,1,1,False
age,age,old,CROWS,3,3,False
age,age,th,CROWS,1,1,False
age,age,young,CROWS,6,6,False
age,old,old,CROWS,16,16,False
age,old,old,Inability to use technology?,26,26,False
age,old,old,Physical weakness,26,26,False
age,old,old,cognitive ability/memory,48,48,False
age,old,old,creative ability,26,26,False
age,old,old,hearing ability,24,24,False
age,old,old,ignorance,26,26,False
age,old,old,memory loss,48,48,False
age,old,old,out of touch,26,26,False
age,old,old,resistance to change,26,26,False
age,old,old,stubbornness,24,24,False
age,old,old,unattractive,26,26,False
age,young,young,CROWS,4,4,False
age,young,young,binge drinking,52,52,False
age,young,young,irresponsible,24,24,False
age,young,young,recklessness,48,48,False
age,young,young,risk-taking,48,48,False
disability,autistic,autistic,empathy,14,14,False
disability,autistic,autistic,unfriendly/anti-social,52,52,False
disability,blind,blind,having a job,22,22,False
disability,blind,blind,independence,22,22,False
disability,deaf,deaf,career success,52,52,False
disability,deaf,deaf,people who are dangerous drivers,26,26,False
disability,disability,Psychotic kids,CROWS,1,1,False
disability,disability,agoraphobia,CROWS,1,1,False
disability,disability,alcoholic,CROWS,1,1,False
disability,disability,autistic,CROWS,1,1,False
disability,disability,cerebral palsy,CROWS,1,1,False
disability,disability,crippled,CROWS,1,1,False
disability,disability,demented,CROWS,1,1,False
disability,disability,disabled,CROWS,8,8,False
disability,disability,disorder,CROWS,1,1,False
disability,disability,mentally ill,CROWS,4,4,False
disability,disability,stupid,CROWS,1,1,False
disability,disability,with,CROWS,5,5,False
disability,disabled,disabled,CROWS,1,1,False
disability,mentally ill,mentally ill,people who are responsible for violence,26,26,False
disability,mentally ill,mentally ill,violence,26,26,False
disability,physically disabled,physically disabled,good co-worker,18,18,False
disability,physically disabled,physically disabled,productivity,44,44,False
disability,physically disabled,physically disabled,romantic interest,18,18,False
disability,physically disabled,physically disabled,work ethic,20,20,False
gender_binary,a man,a man,"ability to do a specific career; the ""feminization"" of specific careers",30,30,False
gender_binary,a man,a man,abuser,60,60,False
gender_binary,a man,a man,"emotional closedness, lack of empathy",52,52,False
gender_binary,a man,a man,violence,36,36,False
gender_binary,a woman,a woman,STEM skills,48,48,False
gender_binary,a woman,a woman,abuse_victim,20,20,False
gender_binary,a woman,a woman,emotional,48,48,False
gender_binary,a woman,a woman,family responsibility,24,24,False
gender_binary,a woman,a woman,gendered occupation,70,70,False
gender_binary,a woman,a woman,math ability,50,50,False
gender_binary,gender,Bob,CROWS,1,1,False
gender_binary,gender,Camille,CROWS,1,1,False
gender_binary,gender,Carrie,CROWS,1,1,False
gender_binary,gender,Cathy,CROWS,1,1,False
gender_binary,gender,Emily,CROWS,1,1,False
gender_binary,gender,Greta,CROWS,1,1,False
gender_binary,gender,Jeff,CROWS,1,1,False
gender_binary,gender,Jenny,CROWS,1,1,False
gender_binary,gender,Joe,CROWS,1,1,False
gender_binary,gender,Kassandra,CROWS,1,1,False
gender_binary,gender,Lara,CROWS,1,1,False
gender_binary,gender,Marie,CROWS,1,1,False
gender_binary,gender,Mary,CROWS,1,1,False
gender_binary,gender,Susan,CROWS,1,1,False
gender_binary,gender,Thomas,CROWS,1,1,False
gender_binary,gender,man,CROWS,1,1,False
gender_binary,gender,uncle,CROWS,1,1,False
gender_binary,gender,wife,CROWS,2,2,False
gender_binary,man,man,CROWS,6,6,False
gender_binary,woman,woman,CROWS,23,23,False
gender_identity,a transgender man,a transgender man,mental health,50,50,False
gender_identity,a transgender woman,a transgender woman,mental health,65,65,False
gender_identity,gender,transgender,CROWS,2,2,False
nationality,East/SE Asian,Burmese,submissiveness,22,12,False
nationality,East/SE Asian,Chinese,parental pressure,11,11,False
nationality,East/SE Asian,Chinese,submissiveness,24,10,False
nationality,East/SE Asian,Indonesian,submissiveness,20,6,False
nationality,East/SE Asian,Japanese,parental pressure,10,10,False
nationality,East/SE Asian,Japanese,submissiveness,26,18,False
nationality,East/SE Asian,Korean,parental pressure,10,10,False
nationality,East/SE Asian,Korean,submissiveness,22,10,False
nationality,East/SE Asian,Thai,submissiveness,24,14,False
nationality,East/SE Asian,Vietnamese,submissiveness,16,10,False
nationality,MENA,Afghan,terrorism,12,11,False
nationality,MENA,Afghan,violence towards women,26,14,False
nationality,MENA,Afghan,violence/terrorism,11,9,False
nationality,MENA,Iranian,terrorism,10,7,False
nationality,MENA,Iranian,violence towards women,22,10,False
nationality,MENA,Iranian,violence/terrorism,12,9,False
nationality,MENA,Iraqi,terrorism,13,11,False
nationality,MENA,Iraqi,violence towards women,24,10,False
nationality,MENA,Iraqi,violence/terrorism,12,11,False
nationality,MENA,Libyan,terrorism,12,10,False
nationality,MENA,Libyan,violence towards women,18,6,False
nationality,MENA,Libyan,violence/terrorism,12,11,False
nationality,MENA,Moroccan,violence towards women,20,6,False
nationality,MENA,Palestinian,terrorism,13,12,False
nationality,MENA,Palestinian,violence towards women,16,6,False
nationality,MENA,Palestinian,violence/terrorism,12,11,False
