axis,block,Group_x,predicate_label_provisional,n_available,n_kept,capped
age,age,80,CROWS,1,1,False
age,age,College students,CROWS,1,1,False
age,age,Sam was,CROWS,1,1,False
age,age,advanced,CROWS,1,1,False
age,age,grandmother,CROWS,1,1,False
age,age,little boy,CROWS,1,1,False
age,age,man,CROWS,1,1,False
age,age,millenial,CROWS,1,1,False
age,age,millenials,CROWS,1,1,False
age,age,old,CROWS,3,3,False
age,age,th,CROWS,1,1,False
age,age,young,CROWS,6,6,False
age,old,old,CROWS,16,16,False
age,young,young,CROWS,4,4,False
disability,disability,Psychotic kids,CROWS,1,1,False
disability,disability,agoraphobia,CROWS,1,1,False
disability,disability,alcoholic,CROWS,1,1,False
disability,disability,autistic,CROWS,1,1,False
disability,disability,cerebral palsy,CROWS,1,1,False
disability,disability,crippled,CROWS,1,1,False
disability,disability,demented,CROWS,1,1,False
disability,disability,disabled,CROWS,8,8,False
disability,disability,disorder,CROWS,1,1,False
disability,disability,mentally ill,CROWS,4,4,False
disability,disability,stupid,CROWS,1,1,False
disability,disability,with,CROWS,5,5,False
disability,disabled,disabled,CROWS,1,1,False
gender_binary,gender,Bob,CROWS,1,1,False
gender_binary,gender,Camille,CROWS,1,1,False
gender_binary,gender,Carrie,CROWS,1,1,False
gender_binary,gender,Cathy,CROWS,1,1,False
gender_binary,gender,Emily,CROWS,1,1,False
gender_binary,gender,Greta,CROWS,1,1,False
gender_binary,gender,Jeff,CROWS,1,1,False
gender_binary,gender,Jenny,CROWS,1,1,False
gender_binary,gender,Joe,CROWS,1,1,False
gender_binary,gender,Kassandra,CROWS,1,1,False
gender_binary,gender,Lara,CROWS,1,1,False
gender_binary,gender,Marie,CROWS,1,1,False
gender_binary,gender,Mary,CROWS,1,1,False
gender_binary,gender,Susan,CROWS,1,1,False
gender_binary,gender,Thomas,CROWS,1,1,False
gender_binary,gender,man,CROWS,1,1,False
gender_binary,gender,uncle,CROWS,1,1,False
gender_binary,gender,wife,CROWS,2,2,False
gender_binary,man,man,CROWS,6,6,False
gender_binary,woman,woman,CROWS,23,23,False
gender_identity,gender,transgender,CROWS,2,2,False
nationality,nationality,A Chinese,CROWS,1,1,False
nationality,nationality,Africa,CROWS,1,1,False
nationality,nationality,African,CROWS,1,1,False
nationality,nationality,American man,CROWS,1,1,False
nationality,nationality,Americans,CROWS,1,1,False
nationality,nationality,Amish,CROWS,1,1,False
nationality,nationality,Arab,CROWS,2,2,False
nationality,nationality,Asian,CROWS,4,4,False
nationality,nationality,Asians,CROWS,1,1,False
nationality,nationality,Carlos Prez,CROWS,1,1,False
nationality,nationality,China,CROWS,2,1,False
nationality,nationality,Chinese,CROWS,4,4,False
nationality,nationality,England,CROWS,1,1,False
nationality,nationality,Eskimo,CROWS,1,1,False
nationality,nationality,German,CROWS,1,1,False
nationality,nationality,Greek,CROWS,1,1,False
nationality,nationality,Gypsys,CROWS,1,1,False
nationality,nationality,Immigrants,CROWS,1,1,False
nationality,nationality,Indian,CROWS,2,2,False
nationality,nationality,Italian,CROWS,7,6,False
nationality,nationality,Italians,CROWS,2,2,False
nationality,nationality,Italy,CROWS,1,1,False
nationality,nationality,Japanese,CROWS,1,1,False
nationality,nationality,Jorge and his,CROWS,1,1,False
nationality,nationality,Korean,CROWS,1,1,False
nationality,nationality,Latino,CROWS,1,1,False
nationality,nationality,Mexians,CROWS,1,1,False
nationality,nationality,Mexican,CROWS,9,9,False
nationality,nationality,Mexicans,CROWS,4,4,False
nationality,nationality,Mexico,CROWS,3,3,False
nationality,nationality,Mexicos the best,CROWS,1,1,False
nationality,nationality,Middle Eastern,CROWS,2,2,False
nationality,nationality,Middle Easterners,CROWS,1,1,False
nationality,nationality,Mississippi,CROWS,1,1,False
nationality,nationality,Native Americans,CROWS,1,1,False
nationality,nationality,Roma Gypsy,CROWS,1,1,False
nationality,nationality,Russian,CROWS,1,1,False
nationality,nationality,Sergey,CROWS,1,1,False
nationality,nationality,Southern,CROWS,1,1,False
nationality,nationality,Syria,CROWS,1,1,False
nationality,nationality,a Mexican,CROWS,1,1,False
nationality,nationality,an Italian,CROWS,1,1,False
nationality,nationality,foreigners,CROWS,1,1,False
nationality,nationality,gypsy,CROWS,1,1,False
nationality,nationality,hispanic,CROWS,1,1,False
nationality,nationality,illegal immigrants,CROWS,2,2,False
nationality,nationality,illegals,CROWS,1,1,False
nationality,nationality,immigrant,CROWS,1,1,False
nationality,nationality,immigrants,CROWS,3,3,False
physical_appearance,obese,obese,CROWS,6,6,False
physical_appearance,physical_appearance,hunchback,CROWS,1,1,False
physical_appearance,physical_appearance,obese,CROWS,12,12,False
physical_appearance,physical_appearance,of average height,CROWS,1,1,False
physical_appearance,physical_appearance,plumber,CROWS,1,1,False
physical_appearance,physical_appearance,small,CROWS,1,1,False
physical_appearance,physical_appearance,tall,CROWS,1,1,False
physical_appearance,physical_appearance,trim,CROWS,1,1,False
physical_appearance,physical_appearance,unattractive,CROWS,3,3,False
physical_appearance,short,short,CROWS,2,2,False
race,Asian,Asian,CROWS,5,5,False
race,Black,Black,CROWS,105,80,True
race,Hispanic,Hispanic,CROWS,6,6,False
race,Jewish,Jewish,CROWS,2,2,False
race,Native American,Native American,CROWS,2,2,False
race,White,White,CROWS,2,2,False
race,race,Afro-American,CROWS,3,1,False
